Марка;Ссилка;Ціна в долларах;Ціна в гривнях;Місто
Renault Sandero StepWay 2020Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1853582.html;   16 254 $   ;442 000 грн;Рівне 
Renault Duster 2021Life 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1853366.html;   22 252 $   ;605 100 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1860250.html;   11 749 $   ;319 500 грн;Харків 
Renault Dokker груз. 2021Authentique 1.5D MT (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1862398.html;   17 835 $   ;485 000 грн;Харків 
Renault Dokker груз. 2021Authentique 1.6 MT (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1851578.html;   14 856 $   ;404 000 грн;Харків 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861229.html;   26 396 $   ;717 800 грн;Івано-Франківськ 
Renault Koleos 2020Intense 2.0D CVT (177 к.с) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1829308.html;   34 938 $   ;950 100 грн;Дніпро (Дніпропетровськ) 
Renault Koleos 2020Intense 2.0D CVT (177 к.с) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1829016.html;   32 732 $   ;890 100 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort DC 1.6dCi  MT (140 к.с) Start&Stop L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1861977.html;   29 066 $   ;790 400 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort DC 1.6dCi MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1861975.html;   28 327 $   ;770 300 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort DC 1.6dCi MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1861974.html;   30 717 $   ;835 300 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort DC 1.6dCi  MT (140 к.с) Start&Stop L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1861976.html;   31 456 $   ;855 400 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 20211.6D MT (115 к.с);https://auto.ria.com/newauto/auto-renault-trafic-gruz-1859782.html;   28 904 $   ;786 000 грн;Харків 
Renault Master груз. 2021Double Cab 2.3D MT (150 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853249.html;   35 766 $   ;972 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (125 к.с) L2H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853253.html;   29 680 $   ;807 100 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (125 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853248.html;   32 442 $   ;882 200 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853238.html;   35 766 $   ;972 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (150 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853251.html;   36 751 $   ;999 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853252.html;   37 119 $   ;1 009 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (150 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853255.html;   33 376 $   ;907 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (165 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1854141.html;   33 747 $   ;917 700 грн;Дніпро (Дніпропетровськ) 
Renault Dokker груз. 2021Authentique 1.5D MT (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1853274.html;   17 331 $   ;471 300 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2020Life+ 1.0 MT (73 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-sandero-1857401.html;   13 066 $   ;355 300 грн;Рівне 
Renault Arkana 2020Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1858502.html;   20 870 $   ;567 530 грн;Рівне 
Renault Kadjar 2020Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829161.html;   22 310 $   ;606 700 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Life+ New 0.9 AT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861219.html;   13 797 $   ;375 200 грн;Івано-Франківськ 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1860932.html;   12 216 $   ;332 200 грн;Одеса 
Renault Logan 2021Zen New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861218.html;   13 334 $   ;362 600 грн;Івано-Франківськ 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861213.html;   12 190 $   ;331 500 грн;Івано-Франківськ 
Renault Logan 2021Zen New 0.9 AT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861220.html;   14 378 $   ;391 000 грн;Івано-Франківськ 
Renault Logan 2021Life+ New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861216.html;   12 749 $   ;346 700 грн;Івано-Франківськ 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861222.html;   14 496 $   ;394 200 грн;Івано-Франківськ 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861221.html;   13 915 $   ;378 400 грн;Івано-Франківськ 
Renault Trafic груз. 2021Comfort 1.6dCi  MT (140 к.с) Start&Stop L1H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860155.html;   27 760 $   ;754 900 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Life 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860668.html;   14 209 $   ;386 400 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort 1.6dCi MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860157.html;   27 882 $   ;758 200 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort 1.6dCi MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860158.html;   25 491 $   ;693 200 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort 1.6dCi  MT (140 к.с) Start&Stop L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860173.html;   28 621 $   ;778 300 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort 1.6dCi  MT (140 к.с) Start&Stop L2H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860174.html;   26 231 $   ;713 300 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort 1.6dCi  MT (140 к.с) Start&Stop L1H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860156.html;   25 370 $   ;689 900 грн;Дніпро (Дніпропетровськ) 
Renault Trafic груз. 2021Comfort 1.6dCi MT (115 к.с) L1H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860153.html;   27 021 $   ;734 800 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021PCC 1L3 4 F6 2.3D MT (150 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1861725.html;   42 032 $   ;1 143 000 грн;Харків 
Renault Master груз. 2020TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853049.html;   44 055 $   ;1 198 000 грн;Харків 
Renault Trafic груз. 2021Comfort 1.6dCi MT (115 к.с) L1H1;https://auto.ria.com/newauto/auto-renault-trafic-gruz-1860154.html;   24 631 $   ;669 800 грн;Дніпро (Дніпропетровськ) 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1853433.html;   17 865 $   ;485 800 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2021Life+ 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1853382.html;   12 999 $   ;353 500 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2020Double Cab 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1820497.html;   43 760 $   ;1 190 000 грн;Харків 
Renault Duster 2021Life 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861197.html;   22 550 $   ;613 200 грн;Івано-Франківськ 
Renault Duster 2021Zen 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861191.html;   17 798 $   ;484 000 грн;Івано-Франківськ 
Renault Duster 2021Zen 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861196.html;   20 884 $   ;567 900 грн;Івано-Франківськ 
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861228.html;   27 176 $   ;739 000 грн;Івано-Франківськ 
Renault Kadjar 2021Zen 1.2 TCe EDC7 (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861225.html;   23 583 $   ;641 300 грн;Івано-Франківськ 
Renault Kadjar 2021Life 1.2 TCe 6MT (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861224.html;   19 615 $   ;533 400 грн;Івано-Франківськ 
Renault Kadjar 2021Intense 1.2 TCe EDC7 (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861226.html;   25 841 $   ;702 700 грн;Івано-Франківськ 
Renault Duster 2021Zen 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1861194.html;   20 174 $   ;548 600 грн;Івано-Франківськ 
Renault Duster 2021Ultramarine 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861192.html;   18 416 $   ;500 800 грн;Івано-Франківськ 
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829162.html;   24 557 $   ;667 800 грн;Дніпро (Дніпропетровськ) 
Renault Dokker груз. 2021Authentique 1.5D MT (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1853276.html;   16 044 $   ;436 300 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853050.html;   46 077 $   ;1 253 000 грн;Харків 
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1849971.html;   43 393 $   ;1 180 000 грн;Харків 
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1854229.html;   43 209 $   ;1 175 000 грн;Харків 
Renault Master груз. 2021PCC 1L3 5 F6 2.3D MT (150 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1858889.html;   40 267 $   ;1 095 000 грн;Харків 
Renault Master груз. 2021PCC 1L3 4 F6 2.3D MT (150 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1862004.html;   46 629 $   ;1 268 000 грн;Харків 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862368.html;   15 298 $   ;416 000 грн;Рівне 
Renault Master груз. 2020TFG 1 323 D6 2.3D MT (125 к.с) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1847728.html;   32 802 $   ;892 000 грн;Харків 
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1857064.html;   46 408 $   ;1 262 000 грн;Харків 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1855107.html;   11 749 $   ;319 500 грн;Одеса 
Renault Lodgy 2021Zen 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1853435.html;   18 298 $   ;497 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1862007.html;   50 196 $   ;1 365 000 грн;Харків 
Renault Master груз. 20212.3D MT (150 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853244.html;   31 651 $   ;860 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1857895.html;   36 957 $   ;1 005 000 грн;Харків 
Renault Master груз. 2021PCC 1L4 5 P6 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1849997.html;   45 231 $   ;1 230 000 грн;Харків 
Renault Master груз. 2021TFG 1 333 D6 2.3D MT (125 к.с) L3H3 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853230.html;   30 298 $   ;823 900 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 333 D6 2.3D MT (125 к.с) L3H3 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853222.html;   32 688 $   ;888 900 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2020Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1829255.html;   12 363 $   ;336 200 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1853424.html;   12 680 $   ;344 800 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860675.html;   16 309 $   ;443 500 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Life 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860669.html;   16 794 $   ;456 700 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Zen 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860670.html;   15 195 $   ;413 200 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Zen 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860674.html;   13 724 $   ;373 200 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Life 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860673.html;   15 324 $   ;416 700 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Life 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860672.html;   12 738 $   ;346 400 грн;Дніпро (Дніпропетровськ) 
Renault Express Van 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1860671.html;   17 780 $   ;483 500 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2020Life New 1.5D МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1829195.html;   17 659 $   ;480 200 грн;Дніпро (Дніпропетровськ) 
Renault Kangoo груз. 2021Z.E.33 MT (60 к.с) Express;https://auto.ria.com/newauto/auto-renault-kangoo-gruz-1829264.html;   40 153 $   ;1 091 900 грн;Дніпро (Дніпропетровськ) 
Renault Kangoo груз. 2021Z.E.33 MT (60 к.с) Express;https://auto.ria.com/newauto/auto-renault-kangoo-gruz-1774889.html;   42 911 $   ;1 166 900 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Life 1.2 TCe 6MT (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829041.html;   19 615 $   ;533 400 грн;Дніпро (Дніпропетровськ) 
Renault Kangoo груз. 2021Z.E.33 MT (60 к.с) Maxi;https://auto.ria.com/newauto/auto-renault-kangoo-gruz-1774890.html;   43 650 $   ;1 187 000 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Zen 1.5 DCi MT6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829046.html;   23 017 $   ;625 900 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Intense 1.2 TCe EDC7 (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829044.html;   25 841 $   ;702 700 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829048.html;   24 149 $   ;656 700 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Intense 1.2 TCe EDC7 (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829157.html;   24 002 $   ;652 700 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829049.html;   26 396 $   ;717 800 грн;Дніпро (Дніпропетровськ) 
Renault Express 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-1860687.html;   19 541 $   ;531 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (165 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853250.html;   36 137 $   ;982 700 грн;Дніпро (Дніпропетровськ) 
Renault Dokker груз. 2021Authentique 1.6 MT (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1853273.html;   14 367 $   ;390 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853259.html;   34 729 $   ;944 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 323 D6 2.3D MT (125 к.с) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853219.html;   31 761 $   ;863 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 323 D6 2.3D MT (125 к.с) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853229.html;   29 371 $   ;798 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853246.html;   33 747 $   ;917 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (125 к.с) L2H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853234.html;   29 485 $   ;801 800 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L4H3 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853224.html;   38 973 $   ;1 059 800 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (125 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1829137.html;   27 462 $   ;746 800 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (125 к.с) L2H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853241.html;   27 095 $   ;736 800 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853228.html;   28 448 $   ;773 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853243.html;   31 158 $   ;847 300 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853236.html;   33 548 $   ;912 300 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853245.html;   33 376 $   ;907 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 123 D6 2.3D MT (125 к.с) L1H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853227.html;   28 080 $   ;763 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L4H3 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853232.html;   36 582 $   ;994 800 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (165 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853240.html;   36 137 $   ;982 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 123 D6 2.3D MT (125 к.с) L1H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853217.html;   30 471 $   ;828 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L3H2 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853231.html;   33 258 $   ;904 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 113 D6 2.3D MT (125 к.с) L1H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853216.html;   29 731 $   ;808 500 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L3H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853237.html;   34 041 $   ;925 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (150 к.с) L3H2 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853223.html;   35 648 $   ;969 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (165 к.с) L4H3 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853225.html;   39 344 $   ;1 069 900 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (165 к.с) L4H3 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853233.html;   36 954 $   ;1 004 900 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (125 к.с) L2H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853247.html;   32 070 $   ;872 100 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 113 D6 2.3D MT (125 к.с) L1H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853226.html;   27 341 $   ;743 500 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (150 к.с) L4H1 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853258.html;   34 361 $   ;934 400 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853218.html;   30 838 $   ;838 600 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 20212.3D MT (125 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853235.html;   29 853 $   ;811 800 грн;Дніпро (Дніпропетровськ) 
Renault Dokker груз. 2021Authentique 1.6 MT (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1853275.html;   13 080 $   ;355 700 грн;Дніпро (Дніпропетровськ) 
Renault Master груз. 2021Double Cab 2.3D MT (125 к.с) L3H1 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1853254.html;   30 051 $   ;817 200 грн;Дніпро (Дніпропетровськ) 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1856380.html;   19 336 $   ;525 800 грн;Рівне 
Renault Kadjar 2020Zen 1.2 TCe EDC7 (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829156.html;   21 744 $   ;591 300 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Zen 1.5 DCi MT6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829159.html;   21 178 $   ;575 900 грн;Дніпро (Дніпропетровськ) 
Renault Kadjar 2020Zen 1.2 TCe EDC7 (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829043.html;   23 583 $   ;641 300 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2021Life+ 1.0 MT (73 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-sandero-1857252.html;   13 055 $   ;355 000 грн;Рівне 
Renault Kadjar 2020Life 1.2 TCe 6MT (130 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1829154.html;   17 776 $   ;483 400 грн;Дніпро (Дніпропетровськ) 
Renault Arkana 2020Life 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847432.html;   17 221 $   ;468 300 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1829191.html;   15 890 $   ;432 100 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2020Zen New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1829250.html;   11 801 $   ;320 900 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2020Life+ 1.0 MT (73 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-sandero-1829212.html;   11 256 $   ;306 100 грн;Дніпро (Дніпропетровськ) 
Renault Lodgy 2021Zen 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1853434.html;   19 769 $   ;537 600 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Life+ 1.0 MT (73 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-logan-1853442.html;   12 062 $   ;328 000 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2020Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1786775.html;   13 466 $   ;366 200 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2020Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1829177.html;   17 780 $   ;483 500 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Life+ 1.0 MT (73 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-logan-1828946.html;   13 165 $   ;358 000 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2020Zen New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1828948.html;   12 904 $   ;350 900 грн;Дніпро (Дніпропетровськ) 
Renault Express 2021Life 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-1860684.html;   16 839 $   ;457 900 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853348.html;   18 405 $   ;500 500 грн;Дніпро (Дніпропетровськ) 
Renault Megane 2021Zen New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1861189.html;   23 355 $   ;635 100 грн;Івано-Франківськ 
